xmin,ymin,xmax,ymax
102.672698515625,23.3015243125,103.1797740078125,23.59498675,171
103.1797740078125,23.3015243125,103.30654288085938,23.374889921875,0
103.30654288085938,23.3015243125,103.43331175390625,23.374889921875,319
103.1797740078125,23.374889921875,103.30654288085938,23.44825553125,22
103.30654288085938,23.374889921875,103.43331175390625,23.44825553125,213
103.43331175390625,23.3015243125,103.6868495,23.44825553125,5
103.1797740078125,23.44825553125,103.43331175390625,23.59498675,111
103.43331175390625,23.44825553125,103.6868495,23.59498675,0
99.6302455625,23.59498675,100.64439654687499,24.181911624999998,321
100.64439654687499,23.59498675,101.65854753125,24.181911624999998,63
99.6302455625,24.181911624999998,100.64439654687499,24.7688365,207
100.64439654687499,24.181911624999998,101.65854753125,24.7688365,126
101.65854753125,23.59498675,102.672698515625,24.181911624999998,407
102.672698515625,23.59498675,103.1797740078125,23.8884491875,275
103.1797740078125,23.59498675,103.6868495,23.8884491875,282
102.672698515625,23.8884491875,103.1797740078125,24.181911624999998,241
103.1797740078125,23.8884491875,103.6868495,24.181911624999998,39
101.65854753125,24.181911624999998,102.16562302343749,24.4753740625,2
102.16562302343749,24.181911624999998,102.41916076953125,24.328642843749996,4
102.41916076953125,24.181911624999998,102.672698515625,24.328642843749996,248
102.16562302343749,24.328642843749996,102.41916076953125,24.4753740625,4
102.41916076953125,24.328642843749996,102.54592964257813,24.402008453125,375
102.54592964257813,24.328642843749996,102.672698515625,24.402008453125,164
102.41916076953125,24.402008453125,102.54592964257813,24.4753740625,0
102.54592964257813,24.402008453125,102.672698515625,24.4753740625,52
101.65854753125,24.4753740625,102.16562302343749,24.7688365,38
102.16562302343749,24.4753740625,102.672698515625,24.7688365,170
102.672698515625,24.181911624999998,103.1797740078125,24.4753740625,259
103.1797740078125,24.181911624999998,103.6868495,24.4753740625,324
102.672698515625,24.4753740625,103.1797740078125,24.7688365,187
103.1797740078125,24.4753740625,103.6868495,24.7688365,144
95.573641625,24.7688365,97.60194359375,25.94268625,0
97.60194359375,24.7688365,98.616094578125,25.355761375,393
98.616094578125,24.7688365,99.1231700703125,25.0622989375,68
99.1231700703125,24.7688365,99.6302455625,25.0622989375,138
98.616094578125,25.0622989375,99.1231700703125,25.355761375,4
99.1231700703125,25.0622989375,99.18655450683593,25.098981742187497,90
99.18655450683593,25.0622989375,99.24993894335938,25.098981742187497,2
99.1231700703125,25.098981742187497,99.18655450683593,25.135664546875,427
99.18655450683593,25.098981742187497,99.24993894335938,25.135664546875,16
99.24993894335938,25.0622989375,99.37670781640625,25.135664546875,1
99.1231700703125,25.135664546875,99.24993894335938,25.20903015625,77
99.24993894335938,25.135664546875,99.37670781640625,25.20903015625,1
99.37670781640625,25.0622989375,99.6302455625,25.20903015625,0
99.1231700703125,25.20903015625,99.37670781640625,25.355761375,12
99.37670781640625,25.20903015625,99.6302455625,25.355761375,1
97.60194359375,25.355761375,98.616094578125,25.94268625,19
98.616094578125,25.355761375,99.6302455625,25.94268625,181
95.573641625,25.94268625,97.60194359375,27.116536,0
97.60194359375,25.94268625,99.6302455625,27.116536,85
99.6302455625,24.7688365,100.64439654687499,25.355761375,261
100.64439654687499,24.7688365,101.1514720390625,25.0622989375,8
101.1514720390625,24.7688365,101.40500978515624,24.915567718749998,0
101.40500978515624,24.7688365,101.65854753125,24.915567718749998,0
101.1514720390625,24.915567718749998,101.40500978515624,25.0622989375,0
101.40500978515624,24.915567718749998,101.53177865820311,24.988933328125,0
101.53177865820311,24.915567718749998,101.65854753125,24.988933328125,0
101.40500978515624,24.988933328125,101.53177865820311,25.0622989375,205
101.53177865820311,24.988933328125,101.65854753125,25.0622989375,376
100.64439654687499,25.0622989375,101.1514720390625,25.355761375,13
101.1514720390625,25.0622989375,101.65854753125,25.355761375,289
99.6302455625,25.355761375,100.13732105468749,25.6492238125,20
100.13732105468749,25.355761375,100.39085880078125,25.50249259375,24
100.39085880078125,25.355761375,100.64439654687499,25.50249259375,244
100.13732105468749,25.50249259375,100.26408992773437,25.575858203125,134
100.26408992773437,25.50249259375,100.39085880078125,25.575858203125,30
100.13732105468749,25.575858203125,100.20070549121093,25.612541007812503,0
100.20070549121093,25.575858203125,100.23239770947265,25.594199605468752,190
100.23239770947265,25.575858203125,100.26408992773437,25.594199605468752,98
100.20070549121093,25.594199605468752,100.23239770947265,25.612541007812503,124
100.23239770947265,25.594199605468752,100.26408992773437,25.612541007812503,261
100.13732105468749,25.612541007812503,100.20070549121093,25.6492238125,5
100.20070549121093,25.612541007812503,100.26408992773437,25.6492238125,30
100.26408992773437,25.575858203125,100.39085880078125,25.6492238125,301
